fetures,p-val
AL445493.1_MSTRG.7792,0.8244380619313633
AL365205.4_MSTRG.75780,0.08005497254626372
-_MSTRG.59065,
Metazoa_SRP_MSTRG.23821,0.07976805994963422
-_MSTRG.91036,
-_MSTRG.12292,
-_MSTRG.513,0.9553777541666174
-_MSTRG.50293,
-_MSTRG.9399,
LRRC38_MSTRG.1054,0.2335519261279486
-_MSTRG.15511,
-_MSTRG.14718,
-_MSTRG.8656,
-_MSTRG.12033,
-_MSTRG.22780,
-_MSTRG.26281,
AC008549.3_MSTRG.71936,0.958461859559357
-_MSTRG.63224,
AL136164.3_MSTRG.76489,0.025642934699354584
AL109615.4_MSTRG.75927,0.3119132852184143
-_MSTRG.59690,
NWD2_MSTRG.65530,0.774208080162898
IL5_MSTRG.72319,0.988435544535009
AC083863.1_MSTRG.79996,0.6061892517985897
LINC01597_MSTRG.54266,0.07012829761616252
HNRNPCP7_MSTRG.80937,0.8439563634632504
-_MSTRG.9953,
-_MSTRG.18363,
-_MSTRG.27731,
-_MSTRG.30773,
-_MSTRG.86952,
-_MSTRG.79893,
-_MSTRG.32106,
-_MSTRG.4603,0.9809977689797804
-_MSTRG.37306,
AP003175.1_MSTRG.16645,0.8157599073638148
-_MSTRG.84031,
AC104836.1_MSTRG.4072,0.022190665570352385
-_MSTRG.9164,
-_MSTRG.12247,
-_MSTRG.89781,
-_MSTRG.26092,
-_MSTRG.1691,0.7668350509717352
-_MSTRG.8563,
-_MSTRG.49607,
-_MSTRG.69935,
-_MSTRG.62657,
-_MSTRG.91286,
-_MSTRG.51821,
-_MSTRG.86114,
-_MSTRG.36507,
-_MSTRG.40660,
-_MSTRG.13201,
RNA5SP108_MSTRG.50897,0.6853849249558854
AL390957.1_MSTRG.7231,0.14218674448764726
-_MSTRG.22136,
SPACA4_MSTRG.45329,0.4635636859931739
-_MSTRG.83106,
-_MSTRG.66349,
SNRPFP1_MSTRG.55159,0.4580743713186629
-_MSTRG.76569,
-_MSTRG.42752,
-_MSTRG.18553,
-_MSTRG.77705,
-_MSTRG.44417,
GDF7_MSTRG.46837,0.49199696826723704
-_MSTRG.70664,
HMGN2P18_MSTRG.5856,0.15166433252145992
AC015909.5_MSTRG.38610,0.17318873772374116
-_MSTRG.13949,
RPL3P3_MSTRG.26948,0.05001847298172908
RPL34P23_MSTRG.18183,0.19141994778839566
MIR941-4_MSTRG.55862,0.7348561965828484
-_MSTRG.6661,
-_MSTRG.685,0.09346777005417611
HNRNPA1P27_MSTRG.94212,0.6501798859339303
AL136317.3_MSTRG.89587,0.8060824737353406
EFL1P1_MSTRG.31459,0.48207311781998474
-_MSTRG.86815,
-_MSTRG.67471,
-_MSTRG.63961,
-_MSTRG.81403,
-_MSTRG.2820,0.7350205253700752
-_MSTRG.17988,
-_MSTRG.16272,
-_MSTRG.63330,
-_MSTRG.74511,
-_MSTRG.87239,
-_MSTRG.15605,
AC024270.1_MSTRG.31434,0.975586378571532
-_MSTRG.86907,
-_MSTRG.59515,
AL139246.1_MSTRG.567,0.10500476216507394
-_MSTRG.5640,
-_MSTRG.38668,
KRT36_MSTRG.37952,0.004954332127957521
-_MSTRG.70618,
RPS15AP28_MSTRG.11296,0.6003509320201672
-_MSTRG.77746,
-_MSTRG.8425,
AL022344.1_MSTRG.10581,0.2066106046236065
-_MSTRG.20746,
MIR3120_MSTRG.6683,0.34300638295233965
-_MSTRG.16570,
AL645939.4_MSTRG.75056,0.3733391692719321
AL158063.1_MSTRG.25245,0.20670060290926684
-_MSTRG.49432,
-_MSTRG.31277,
-_MSTRG.29801,
-_MSTRG.1601,0.9522317453486565
-_MSTRG.47941,
RN7SL220P_MSTRG.11217,0.1272215725655037
-_MSTRG.75902,
AC093326.1_MSTRG.46297,0.3234676011258004
-_MSTRG.21970,
CTBP2P1_MSTRG.96269,0.20800575967157267
-_MSTRG.52074,
-_MSTRG.70750,
-_MSTRG.60141,
FNDC1-IT1_MSTRG.78696,0.3881627823015287
AC087045.2_MSTRG.87865,0.5859799339264217
-_MSTRG.80594,
-_MSTRG.4905,0.7472990868073239
RNU6-196P_MSTRG.33266,0.24026706184384367
AL033527.4_MSTRG.2428,0.04270498199727436
-_MSTRG.63958,
-_MSTRG.85521,
-_MSTRG.78494,
-_MSTRG.70299,
-_MSTRG.3668,0.34160682552713134
-_MSTRG.24626,
-_MSTRG.25406,
-_MSTRG.34207,
-_MSTRG.25557,
BRCC3P1_MSTRG.73695,0.12389127282571266
-_MSTRG.63986,
-_MSTRG.24525,
-_MSTRG.52357,
-_MSTRG.72533,
-_MSTRG.10195,
