fetures,p-val
POTEH_MSTRG.57435,5.370387009887394e-05
-_MSTRG.38100,
-_MSTRG.75685,
-_MSTRG.67896,
MIR3907_MSTRG.83677,0.48647534848143337
-_MSTRG.83714,
-_MSTRG.49143,
-_MSTRG.83931,
-_MSTRG.74568,
-_MSTRG.72847,
-_MSTRG.78860,
AL583856.2_MSTRG.76464,0.0007898832902493893
AL162414.1_MSTRG.90783,5.320202648701496e-07
-_MSTRG.21968,
TRAJ61_MSTRG.25918,0.42441270772733497
-_MSTRG.62120,
-_MSTRG.27926,
PPIAP67_MSTRG.51302,0.09986427513269244
AC098859.2_MSTRG.67871,0.21655414417506205
-_MSTRG.26129,
AL360091.1_MSTRG.7986,0.7413233173672841
-_MSTRG.10360,
-_MSTRG.53112,
-_MSTRG.26442,
PIGCP1_MSTRG.14677,0.20091647788178832
-_MSTRG.29289,
ATP5MGL_MSTRG.58994,0.1874399598279772
-_MSTRG.50022,
-_MSTRG.57138,
-_MSTRG.27978,
RNU6-936P_MSTRG.46920,0.3659603578496301
-_MSTRG.8196,
-_MSTRG.20966,
-_MSTRG.64726,
AC015909.1_MSTRG.38596,1.678152744597129e-10
-_MSTRG.11186,
AC010680.5_MSTRG.51397,0.8712701712504742
-_MSTRG.63980,
-_MSTRG.64614,
-_MSTRG.51067,
-_MSTRG.63463,
-_MSTRG.80413,
-_MSTRG.77460,
AC007563.3_MSTRG.52374,0.12596779210724318
RPL17P25_MSTRG.76709,0.04394097727705781
AP001059.3_MSTRG.57194,0.031421043600665624
AC234778.1_MSTRG.95279,0.9337926347458859
-_MSTRG.15602,
MIR4744_MSTRG.41423,0.6386956995784582
-_MSTRG.91883,
RNU6-625P_MSTRG.39849,0.0022984979997533054
-_MSTRG.39482,
-_MSTRG.58122,
-_MSTRG.35649,
RNU6-313P_MSTRG.81034,0.023602196398377923
-_MSTRG.86633,
IL13_MSTRG.72327,0.11674415817237234
-_MSTRG.94251,
AL008707.1_MSTRG.94897,0.0002630360655313519
-_MSTRG.64466,
-_MSTRG.62692,
-_MSTRG.38952,
-_MSTRG.12983,
AL132640.1_MSTRG.27268,0.20036752423374576
PPIAP33_MSTRG.88449,0.00045581314596559606
-_MSTRG.47040,
